公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
安克创新,300866,300866,2014-12-31,按产品分类,音频产品,23545756.86,0.031561,15953494.27,0.034825,7592262.59,0.026367,0.322447
安克创新,300866,300866,2014-12-31,按产品分类,线头产品,23075405.1,0.03093,9358669.23,0.020429,13716735.87,0.047637,0.594431
安克创新,300866,300866,2014-12-31,按产品分类,其他零散产品,1234024.42,0.001654,895010.87,0.001954,339013.55,0.001177,0.274722
安克创新,300866,300866,2014-12-31,按地区分类,国外销售,740673353.12,0.992798,454468421.91,0.992068,286204931.21,0.993959,0.386412
安克创新,300866,300866,2014-12-31,按地区分类,国内销售,5373392.68,0.007202,3633862.97,0.007932,1739529.71,0.006041,0.32373
致欧科技,301376,301376,2026-06-30,按行业分类,跨境电商零售,4795799781.32,0.993817,3083861806.03,0.992859,1711937975.29,0.995549,0.356966
致欧科技,301376,301376,2026-06-30,按行业分类,其他(补充),29834807.71,0.006183,22181693.88,0.007141,7653113.83,0.004451,0.256516
致欧科技,301376,301376,2026-06-30,按产品分类,家具系列,2625184884.05,0.544008,1731788538.55,0.557555,893396345.5,0.51954,0.340317
致欧科技,301376,301376,2026-06-30,按产品分类,家居系列,1652066173.73,0.342352,1019942241.55,0.328373,632123932.18,0.367601,0.382626
致欧科技,301376,301376,2026-06-30,按产品分类,宠物系列,305052042.44,0.063215,194952220.89,0.062765,110099821.55,0.064027,0.360921
致欧科技,301376,301376,2026-06-30,按产品分类,运动户外,197035418.68,0.040831,126041371.71,0.040579,70994046.97,0.041285,0.360311
致欧科技,301376,301376,2026-06-30,按产品分类,其他(补充),29834807.71,0.006183,22181693.88,0.007141,7653113.83,0.004451,0.256516
致欧科技,301376,301376,2026-06-30,按产品分类,其他,16461262.42,0.003411,11137433.33,0.003586,5323829.09,0.003096,0.323416
致欧科技,301376,301376,2026-06-30,按地区分类,欧洲地区,3238990758.74,0.671205,2126125298.9,0.684512,1112865459.84,0.647169,0.343584
致欧科技,301376,301376,2026-06-30,按地区分类,美加地区,1298895851.76,0.269166,799956186.55,0.257548,498939665.21,0.29015,0.384126
致欧科技,301376,301376,2026-06-30,按地区分类,拉美地区,178376713.01,0.036964,108518874.17,0.034938,69857838.84,0.040625,0.391631
致欧科技,301376,301376,2026-06-30,按地区分类,其他地区,79536457.81,0.016482,49261446.41,0.01586,30275011.4,0.017606,0.380643
致欧科技,301376,301376,2026-06-30,按地区分类,其他(补充),29834807.71,0.006183,22181693.88,0.007141,7653113.83,0.004451,0.256516
致欧科技,301376,301376,2025-12-31,按行业分类,跨境电商零售,8627105297.28,0.991513,5649884948.44,0.991052,2977220348.84,0.99239,0.345101
致欧科技,301376,301376,2025-12-31,按行业分类,其他(补充),73840888.64,0.008487,51010431.29,0.008948,22830457.35,0.00761,0.309184
致欧科技,301376,301376,2025-12-31,按产品分类,家具系列,4687069563.61,0.538685,3070463050.61,0.538593,1616606513.0,0.53886,0.344908
致欧科技,301376,301376,2025-12-31,按产品分类,家居系列,3071750572.57,0.353036,1999132539.82,0.35067,1072618032.75,0.357533,0.349188
致欧科技,301376,301376,2025-12-31,按产品分类,宠物系列,614672343.61,0.070644,414673904.44,0.072738,199998439.17,0.066665,0.325374
致欧科技,301376,301376,2025-12-31,按产品分类,运动户外,253528518.56,0.029138,165573312.48,0.029043,87955206.08,0.029318,0.346924
致欧科技,301376,301376,2025-12-31,按产品分类,其他,73925187.57,0.008496,51052572.38,0.008955,22872615.19,0.007624,0.309402
致欧科技,301376,301376,2025-12-31,按产品分类,其中:租赁,53130953.69,0.006106,40322722.88,0.007073,12808230.81,0.004269,0.241069
致欧科技,301376,301376,2025-12-31,按产品分类,其中:其他,20709934.95,0.00238,10687708.41,0.001875,10022226.54,0.003341,0.483933
致欧科技,301376,301376,2025-12-31,按地区分类,欧洲地区,5718121637.88,0.657184,3638322221.18,0.638202,2079799416.7,0.693255,0.363721
致欧科技,301376,301376,2025-12-31,按地区分类,美加地区,2617762992.02,0.30086,1825245267.24,0.320168,792517724.78,0.264168,0.302746
致欧科技,301376,301376,2025-12-31,按地区分类,拉美地区,213787058.86,0.024571,138557695.08,0.024305,75229363.78,0.025076,0.351889
致欧科技,301376,301376,2025-12-31,按地区分类,其他地区,151274497.16,0.017386,98770196.23,0.017325,52504300.93,0.017501,0.34708
致欧科技,301376,301376,2025-06-30,按行业分类,跨境电商零售,4007410924.75,0.990913,2605707263.68,0.990164,1401703661.07,0.992308,0.349778
致欧科技,301376,301376,2025-06-30,按行业分类,其他(补充),36750133.85,0.009087,25884198.08,0.009836,10865935.77,0.007692,0.295671
致欧科技,301376,301376,2025-06-30,按产品分类,家具系列,2121476820.74,0.524578,1384137439.44,0.52597,737339381.3,0.521984,0.347559
致欧科技,301376,301376,2025-06-30,按产品分类,家居系列,1439990049.91,0.356066,923201071.9,0.350815,516788978.01,0.36585,0.358884
致欧科技,301376,301376,2025-06-30,按产品分类,宠物系列,286263342.64,0.070784,193949871.92,0.073701,92313470.72,0.065351,0.322477
致欧科技,301376,301376,2025-06-30,按产品分类,运动户外,159615726.02,0.039468,104386667.19,0.039667,55229058.83,0.039098,0.346013
致欧科技,301376,301376,2025-06-30,按产品分类,其他,36815119.29,0.009103,25916411.31,0.009848,10898707.98,0.007716,0.296039
致欧科技,301376,301376,2025-06-30,按地区分类,欧洲地区,2588801986.51,0.640133,1628129111.05,0.618686,960672875.46,0.680089,0.371088
致欧科技,301376,301376,2025-06-30,按地区分类,北美地区,1382130362.24,0.341759,954794677.81,0.36282,427335684.43,0.302524,0.309186
致欧科技,301376,301376,2025-06-30,按地区分类,其他地区,44409602.77,0.010981,31203489.12,0.011857,13206113.65,0.009349,0.297371
致欧科技,301376,301376,2025-06-30,按地区分类,日本地区,28819107.08,0.007126,17464183.78,0.006636,11354923.3,0.008038,0.394007
致欧科技,301376,301376,2024-12-31,按行业分类,跨境电商零售,8032463195.75,0.988753,5241641205.65,0.987379,2790821990.1,0.991343,0.347443
致欧科技,301376,301376,2024-12-31,按行业分类,其他(补充),91371902.49,0.011247,66999933.15,0.012621,24371969.34,0.008657,0.266734
